t,Re<C_aa>,Im<C_aa>,|C_aa|,|C_aa|^2,Re<C_ab>,Im<C_ab>,|C_ab|,|C_ab|^2
1306.8,-0.0640461392,-0.0263418599,0.0692517258,0.00479580153,-0.00251361396,0.000217876399,0.0025230389,6.36572528e-06
1310.4,-0.0163734166,0.0526033187,0.0550926303,0.00303519791,-0.000620317501,0.00193064856,0.00202785544,4.11219768e-06
1314,0.0431285105,0.00972032798,0.044210329,0.00195455319,0.00135980632,0.000456020793,0.00143423436,2.05702819e-06
1317.6,0.00383631304,-0.0322600597,0.0324873629,0.00105542875,-0.000810473764,-0.00152654121,0.00172835059,2.98719577e-06
1321.2,-0.0227301895,0.00421931402,0.0231184802,0.000534464125,-0.00215159953,0.00138127947,0.00255681707,6.53731352e-06
1324.8,0.0150367655,0.0162463074,0.0221370011,0.000490046818,0.00100488384,0.00337199517,0.00351854273,1.2380143e-05
1328.4,0.0159969469,-0.0298633131,0.0338780132,0.00114771978,0.00352810963,-0.000154073033,0.00353147223,1.24712961e-05
1332,-0.0434577076,-0.0255615499,0.0504179054,0.00254196518,0.000709774795,-0.00250754418,0.00260606179,6.79155807e-06
1335.6,-0.0391187759,0.0480253052,0.0619411702,0.00383670857,-0.00161765361,-0.000252642609,0.00163726342,2.68063149e-06
1339.2,0.0455724642,0.047317494,0.0656947086,0.00431579474,0.000746176224,0.00124496393,0.00145145243,2.10671414e-06
1342.8,0.0488163909,-0.0450795205,0.0664469954,0.00441520319,0.00185387807,-0.00114193629,0.00217735675,4.74088241e-06
1346.4,-0.0516082308,-0.0504538574,0.0721734107,0.00520900121,-0.000963824515,-0.00246083651,0.00264285339,6.98467402e-06
1350,-0.0593577549,0.0599630404,0.084373629,0.00711890928,-0.00194285106,0.000133164259,0.00194740929,3.79240295e-06
1353.6,0.0602616648,0.0723041097,0.0941241336,0.00885935253,-8.47163494e-05,0.000976863583,0.000980530122,9.6143932e-07
1357.2,0.0799830135,-0.0517103864,0.0952430917,0.00907124652,0.00032767516,-0.000960555581,0.00101490789,1.03003804e-06
1360.8,-0.0402325176,-0.080191047,0.0897176654,0.00804925949,-0.00183651542,-0.000601447136,0.00193249257,3.73452755e-06
